Mfg14,gs.apple.com.,tcp 8888,api-global.netflix.com.,push.apple.com.,p29-keyvalueservice.icloud.com.,p58-keyvalueservice.icloud.com.,nrdp.nccp.netflix.com.,cloudservices.roku.com.,Mfg10,ntp.ubuntu.com.,Mfg8,tcp 631,p24-availability.icloud.com.,p24-caldav.icloud.com.,Mfg2,ntp-g7g.amazon.com.,api.amazon.com.,kinesis.us-east-1.amazonaws.com.,p20-keyvalueservice.fe.apple-dns.net.,tcp 1721,licensing.mp.microsoft.com.,www.msftconnecttest.com.,service-catalog.ws.sonos.com.,2.sonostime.pool.ntp.org.,Mfg3,www-roku.mgo.com.,p20-ckdatabase.icloud.com.,tcp 5000,xp.apple.com.,sls.update.microsoft.com.,guzzoni.apple.com.,lcdn-locator.apple.com.,mas-ext.amazon.com.,sf.prod.sonyentertainmentnetwork.com.,api-glb-sjc.smoot.apple.com.,mDNS,p24-quota.icloud.com.,scribe.logs.roku.com.,plugins.roku.com.,api.instabug.com.,sp.cwfservice.net.,officeclient.microsoft.com.,setup.icloud.com.,us.lgtvsdp.com.,ngfts.lge.com.,uslax-edge.icloud-content.com.,device-metrics-us.amazon.com.,dp-gw-na.amazon.com.,ichnaea.netflix.com.,mediaredirect.microsoft.com.,p34-btmmdns.icloud.com.,p24-contacts.fe.apple-dns.net.,tcp 2049,nsx.sec.np.dl.playstation.net.,p25-keyvalueservice.icloud.com.,lgtvonline.lge.com.,messaging-director-us-east-1.amazon.com.,keyvalueservice.icloud.com.,us.rdx2.lgtvsdp.com.,plugins.qa.roku.com.,tcp 7100,wdcpalt.microsoft.com.,US.lgtvsdp.com.,softwareupdates.amazon.com.,mas-sdk.amazon.com.,hd.aol.com.,fe2.update.microsoft.com.,img-prod-cms-rt-microsoft-com.akamaized.net.,client.wns.windows.com.,appboot.netflix.com.,gs-loc.apple.com.,spectrum.s3.amazonaws.com.,udp 5353,identity.apple.com.,aviary.amazon.com.,dcape-na.amazon.com.,p34-btmmdns.icloud.com.akadns.net.,udp 1007,pd-nk.itunes-apple.com.akadns.net.,p24-caldav.fe.apple-dns.net.,clients3.google.com.,www.apple.com.,pcr.apple.com.,tcp 8008,Mfg13,tcp 80,littlefield.sb.roku.com.,update.sonos.com.,p58-caldav.icloud.com.,littlefield.sw.roku.com.,device-messaging-na.amazon.com.,Mfg11,1.sonostime.pool.ntp.org.,edge.icloud.com.,Mfg12,tcp 443,p58-contacts.icloud.com.,secure.netflix.com.,nccp.netflix.com.,tcp 1900,todo-ta-g7g.amazon.com.,api.roku.com.,ctldl.windowsupdate.com.,p04-keyvalueservice.icloud.com.,update-timezone.sonos.com.,hub-api.wink.com.,F1.meetcircle.co.,us.np.stun.playstation.net.,ussjc-edge.icloud-content.com.,p58-keyvalueservice.fe.apple-dns.net.,configsvc.cs.roku.com.,wwwimg.roku.com.,ieonline.microsoft.com.,Mfg18,Mfg16,www.netflix.com.,0.sonostime.pool.ntp.org.,tcp 111,ags-ext.amazon.com.,cortana-gateway.amazon.com.,tcp 8080,ical.mac.com.,digprjsurvey.amazon.com.,tcp 49154,tcp 1021,tcp 1023,p24-escrowproxy.icloud.com.,arcus-uswest.amazon.com.,kindle-time.amazon.com.,www.google.com.,Mfg17,origin.guzzoni-apple.com.akadns.net.,prod.amazoncrl.com.,captive.roku.com.,Mfg9,displaycatalog.mp.microsoft.com.,p29-caldav.icloud.com.,tcp 3000,3.sonostime.pool.ntp.org.,customer-feedbacks.web.roku.com.,store-images.s-microsoft.com.,go.microsoft.com.,tcp 3689,dns.msftncsi.com.,init.ess.apple.com.,udp 2049,msh.amazon.com.,p25-keyvalueservice.fe.apple-dns.net.,tcp 9998,Mfg6,vpncc.meetcircle.co.,p25-ckdatabase.icloud.com.,udp 123,dp-rsm-prod.amazon.com.,udp 137,ssl.google-analytics.com.,Mfg15,tcp 9100,apple.com.,fe3.delivery.mp.microsoft.com.,sylvan.apple.com.,SSDP,update.playstation.net.,tcp 5009,p15-content.icloud.com.,tcp 22,files.apple.com.,tcp 49153,msmetrics.ws.sonos.com.,android.clients.google.com.,Mfg19,p21-calendars.icloud.com.,p08-calendars.icloud.com.,api.rokutime.com.,wiki.ubuntu.com.,Mfg1,iphone-ld.apple.com.,www-cdn.icloud.com.akadns.net.,p24-contacts.icloud.com.,hub-updates.winkapp.com.,urs.smartscreen.microsoft.com.,tcp 1443,v10.vortex-win.data.microsoft.com.,wdcp.microsoft.com.,settings-win.data.microsoft.com.,tcp 7000,nflxvideo.net.,Mfg4,itunes.com.,win10.ipv6.microsoft.com.,pancake.apple.com.,captive.apple.com.,time-ios.apple.com.,configuration.apple.com.,dp-discovery-na-ext.amazon.com.,download.meetcircle.co.,p20-keyvalueservice.icloud.com.,sr.symcd.com.,itunes.apple.com.,nflxso.net.,udp 111,tcp 3001,Mfg5,applab-sdk.amazon.com.,ena.net.playstation.net.,www.icloud.com.,tcp 62078,connectivitycheck.android.com.,p04-contacts.icloud.com.,daisy.ubuntu.com.,tcp 515,Mfg7,sls.tivoservice.com.,ls.apple.com.,Identity
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
